video ID,uploader,age,category,length,views,rate,ratings,comments
bRPeEVpHiI8,ufc,744.0,Sports,154.0,331333.0,3.32,1284.0,103.0
gdTkR2VbBbI,AnimeUploader320,744.0,Film & Animation,605.0,94775.0,4.9,354.0,216.0
uTPfTfgT-Vo,ThePatriotsMaxim,743.0,News & Politics,28.0,82363.0,4.23,293.0,458.0
8ud8Mcmxo1M,janetaguzman,743.0,Entertainment,645.0,79464.0,4.52,223.0,119.0
7D6aRxltTuA,virmtx,744.0,Sports,414.0,76366.0,4.4,166.0,149.0
FNkRnSWNbMU,Torerohanes,743.0,Sports,38.0,63144.0,4.06,34.0,69.0
PIbvYdMHyEQ,yosssi,743.0,Sports,20.0,53306.0,4.46,26.0,34.0
kFYTWL1ajSg,Sloved30,743.0,Film & Animation,506.0,46300.0,4.86,277.0,114.0
ECGaUGUu5Sc,Sloved30,743.0,Film & Animation,504.0,44360.0,4.87,230.0,67.0
jllICF1fq0Y,cholo3pa,743.0,Sports,38.0,44029.0,4.48,21.0,38.0
bL0UeO97cR0,AnimeUploader320,744.0,Film & Animation,518.0,44026.0,4.88,190.0,80.0
0A9eIjRO3W0,hohoetal,743.0,Comedy,93.0,43891.0,1.89,104.0,41.0
305jKrU-uQM,ganggeneral,744.0,Music,250.0,40078.0,4.16,212.0,180.0
bCcAnvZo59o,Sloved30,743.0,Film & Animation,438.0,39818.0,4.87,224.0,156.0
3kx6FeDvMb8,AnimeUploader320,744.0,Film & Animation,651.0,36913.0,4.88,444.0,204.0
BnD8k8U2m0A,charlottechurchcom,744.0,Comedy,109.0,33948.0,3.65,46.0,28.0
afdOwAi0Mjg,rayray200123,743.0,Film & Animation,589.0,32445.0,4.9,140.0,106.0
tIJrML9uw-o,NaraIno,744.0,Howto & DIY,1444.0,32344.0,4.9,263.0,233.0
84ekS0ZbLTs,CIoudywolf,744.0,Film & Animation,657.0,31385.0,4.95,156.0,59.0
Pj9ewCvT-dk,EXMvideos,743.0,Music,273.0,31224.0,4.76,214.0,148.0
PukWLAK7xqY,charlottechurchcom,744.0,Pets & Animals,25.0,31115.0,3.86,29.0,7.0
lNC_gYDAioo,xXhellslayerXx,743.0,Pets & Animals,34.0,30925.0,1.72,185.0,133.0
NnjwCpLzJHo,MrGrim84,743.0,Pets & Animals,57.0,30665.0,2.66,206.0,135.0
mvI7V7MNEwk,adc1995rmadrid,743.0,Sports,71.0,30169.0,3.68,19.0,8.0
WHxmRkA0iak,CIoudywolf,744.0,Film & Animation,646.0,28013.0,4.83,192.0,63.0
_kTyVreyZUY,timsheehan32002,743.0,Sports,11.0,27626.0,3.94,17.0,18.0
7UyTOeee8hQ,cubiclemonkey,744.0,News & Politics,17.0,27571.0,4.66,44.0,17.0
zbMIjDEjyTw,casiotoneforthe,744.0,People & Blogs,32.0,26367.0,3.48,83.0,44.0
bJ-ggcb2Rzg,eweeeee,744.0,News & Politics,57.0,26316.0,4.6,10.0,21.0
eaqgRw9g3jw,AnimeUploader320,744.0,Film & Animation,99.0,24309.0,4.85,73.0,40.0
RX0GroQ0Y7Y,dabsrassistant,743.0,Entertainment,492.0,24107.0,3.44,78.0,69.0
PYRAAUqCxgg,WorldStarHipHopCOM2,743.0,Music,257.0,23988.0,4.18,91.0,81.0
TuIjBbe59LE,rayray200123,743.0,Film & Animation,575.0,23766.0,4.85,95.0,69.0
Twp1gReEecM,AnimeUploader320,744.0,Film & Animation,560.0,23291.0,4.93,260.0,115.0
OifovpNPZ9E,caritocad,743.0,Music,206.0,23021.0,4.6,82.0,76.0
7_s1U4k7SMA,yenisafak9,743.0,Pets & Animals,115.0,22871.0,4.71,42.0,0.0
S7q-ov6ijgo,WHITEBOYCBP,744.0,Entertainment,33.0,22836.0,2.43,68.0,68.0
QCdEKoH9lxU,smartenupnascom,743.0,Entertainment,273.0,21930.0,4.27,26.0,52.0
F7eFsJ7AuVo,FOXNewsFightGame,744.0,Sports,435.0,20964.0,4.62,66.0,90.0
11QnvEcQlkY,amyceltic,743.0,Pets & Animals,17.0,20812.0,2.16,153.0,122.0
NzPvHEely8k,Rezikai,744.0,Film & Animation,1444.0,19049.0,4.95,256.0,176.0
d6K19STJkxQ,mvmark18,744.0,Music,207.0,18752.0,4.77,124.0,69.0
Tn-Twl0wAfQ,carmelodevisu,743.0,Music,45.0,18217.0,4.36,33.0,32.0
PYrB4M5Dt1Y,renetto,744.0,News & Politics,982.0,18089.0,4.31,931.0,859.0
rTEhsKZCBP8,cableguy112,744.0,Entertainment,89.0,17862.0,4.84,38.0,5.0
ZYZyAQXDxuI,eweeeee,743.0,News & Politics,104.0,17512.0,4.27,11.0,16.0
y3kbFYt8LBM,rayray200123,744.0,Film & Animation,279.0,17273.0,4.86,109.0,86.0
AVx8HFdj4BQ,markustus,744.0,Music,247.0,16983.0,4.87,218.0,57.0
EDb9-IZckFw,LostSpoilers,743.0,Entertainment,29.0,16809.0,4.88,26.0,20.0
qcfLRxFq-cY,teluricatv,744.0,News & Politics,244.0,16352.0,5.0,1.0,3.0
rzCueFnRMpE,Pandastits,744.0,Comedy,3.0,16308.0,4.37,51.0,221.0
3b-TcDw19tM,zaman4242,743.0,Comedy,549.0,16301.0,4.81,81.0,13.0
hWsTYYSPBAQ,Mandystarz,744.0,People & Blogs,27.0,15961.0,3.75,4.0,1.0
J5rsfRfj7Cw,thewinekone,744.0,Comedy,202.0,15848.0,4.73,1271.0,1006.0
h7UwNc6KQps,oikotimes,743.0,Music,186.0,15790.0,4.25,53.0,34.0
TIXPTKSmcZI,piyopiyoGintama,744.0,Film & Animation,641.0,15263.0,4.87,45.0,7.0
RknupcBUXHo,actualicese,744.0,Entertainment,75.0,15046.0,2.0,4.0,0.0
edr2uNc7z_c,boh3m3,744.0,News & Politics,401.0,14836.0,4.62,1143.0,923.0
Ub440-udh0A,DePeut,744.0,Music,299.0,14753.0,1.8,5.0,4.0
8Fg2SyfqCJ0,bolaoito2007,744.0,Sports,33.0,14692.0,5.0,9.0,3.0
6R-y4-MDYtM,zaman4242,743.0,Comedy,595.0,14571.0,4.91,57.0,14.0
3HKhEN2TZHs,NancyPelosi,744.0,News & Politics,403.0,14519.0,4.73,64.0,18.0
olPIxTc8GKU,erfg894kx,743.0,Comedy,198.0,14411.0,3.56,18.0,20.0
QnuW-xkerno,DarkTamplar,744.0,Film & Animation,605.0,14397.0,4.82,100.0,49.0
sVVDoankPI0,masun2,743.0,Entertainment,35.0,14257.0,4.93,14.0,8.0
Pwo6Yf-sXoY,zaman4242,743.0,Comedy,531.0,14178.0,5.0,58.0,11.0
THMdK7eWhl0,Litchart,743.0,Comedy,24.0,13992.0,3.76,49.0,27.0
kLcTnrgc_18,Loimu,744.0,Music,240.0,13971.0,4.69,122.0,106.0
Kahl674QvtA,zaman4242,743.0,Comedy,542.0,13899.0,4.95,41.0,8.0
O8BR5MJ6MGM,Opheicus,744.0,Film & Animation,593.0,13633.0,4.89,103.0,35.0
PMOQC9o9IEY,DateWithDestinyNet,743.0,Music,273.0,13501.0,4.73,48.0,28.0
1rs-IzvNnls,p0ntsa,744.0,Music,326.0,13184.0,4.93,204.0,51.0
pFDsfKfIsvw,vondiepen,744.0,People & Blogs,121.0,13162.0,4.38,491.0,42.0
VRxOOeu6qTA,zaman4242,743.0,Comedy,589.0,13094.0,4.71,59.0,9.0
_A5HjUUc7Vw,tincu,743.0,Autos & Vehicles,900.0,12973.0,4.96,81.0,28.0
9CEW5dmnDw4,1lari,744.0,Music,243.0,12952.0,4.85,131.0,29.0
n2tFFtmty-U,piyopiyoGintama,744.0,Film & Animation,337.0,12937.0,5.0,33.0,5.0
9-MVz7t7Pmo,masterb8tr,744.0,Film & Animation,545.0,12655.0,4.89,55.0,30.0
9xFuEyXIRwM,psabev,743.0,Music,160.0,12639.0,4.74,46.0,25.0
oQY2e0bte1M,HaniHajime,744.0,Pets & Animals,79.0,12500.0,3.38,13.0,0.0
_Dc_2QWKyC4,dailinjie,744.0,Film & Animation,598.0,12462.0,4.74,47.0,23.0
p-J4Pwi1yXQ,zaman4242,743.0,Comedy,579.0,12304.0,4.84,57.0,9.0
E5IAIUyDZhQ,zonasedna,743.0,Entertainment,50.0,12263.0,4.83,18.0,25.0
RaMfDorPRmw,ostrichsan,745.0,Comedy,127.0,12212.0,3.87,15.0,6.0
ui0Oy-Bk7gI,elbey07,744.0,People & Blogs,55.0,12048.0,3.67,3.0,3.0
dtHjbACAqIg,Karla193,744.0,Entertainment,583.0,12006.0,4.82,183.0,101.0
mo3XPVZQvpo,jinjiroge4,744.0,Music,78.0,11918.0,4.7,10.0,0.0
CsHMZ7494yc,nrxd,744.0,Entertainment,548.0,11873.0,4.87,79.0,67.0
Krhl2o_uwdc,JPNASCAR,744.0,Music,213.0,11856.0,4.52,31.0,25.0
Cis7jshNJbs,piyopiyoGintama,744.0,Film & Animation,323.0,11661.0,5.0,33.0,3.0
HbOKRT_YRDc,Acig81,743.0,Sports,104.0,11593.0,5.0,7.0,6.0
Rg6463aqOyA,2KSports,743.0,Gadgets & Games,118.0,668112.0,3.29,1846.0,334.0
vZKbUYl13UY,EvilDarkDevil,739.0,Music,218.0,83176.0,4.7,53.0,102.0
G7R634P1sDo,aaa24k,741.0,People & Blogs,14.0,78172.0,3.28,53.0,33.0
OnIlPmgL5XI,somoros,738.0,Film & Animation,470.0,76026.0,4.42,74.0,34.0
GaOH0TWfkiE,sugahi45,743.0,Entertainment,30.0,74424.0,2.68,66.0,6.0
WoRJOozDSLU,dydydyman,739.0,People & Blogs,41.0,74171.0,4.67,6.0,3.0
jsVXWWfO6P8,heather2787,743.0,People & Blogs,27.0,72918.0,1.54,241.0,119.0
2PpuUC41vHI,ysabellabrave,744.0,Music,148.0,11359.0,4.49,596.0,364.0
-is63goeBgc,DorkmanScott,744.0,Entertainment,596.0,7573.0,4.89,471.0,304.0
tdRJou6pMX0,miaarose,745.0,Music,181.0,2976.0,4.4,527.0,342.0
yZ9KhDY7frw,SiIentKiller,744.0,Film & Animation,649.0,9653.0,4.93,257.0,108.0
pY6tyPkxvBQ,tubopopcorn,744.0,Comedy,405.0,9130.0,4.96,194.0,159.0
YxMq9pa1rO8,Rezikai,744.0,Film & Animation,1384.0,5624.0,4.87,202.0,105.0
Vef6OLOSoSw,Karla193,744.0,Entertainment,579.0,10355.0,4.8,191.0,100.0
SUJ90Dq_9pM,realrainproductions,744.0,Comedy,345.0,831.0,4.95,173.0,3.0
Vu04syC2ktk,Emmalina,743.0,People & Blogs,303.0,9257.0,4.15,269.0,297.0
D3dW_KzLnQk,Karla193,744.0,Entertainment,328.0,8453.0,4.82,165.0,153.0
3tntH2Qgf_4,SmallvilleFanTop40,743.0,Entertainment,20.0,1205.0,4.58,184.0,9.0
OQhweeXbvbw,SiIentKiller,744.0,Film & Animation,612.0,7229.0,4.92,178.0,81.0
C-srD3xNY44,littleloca,744.0,Comedy,274.0,4137.0,4.62,170.0,145.0
0N-Qngvc5Ec,TianaMarcelliFlores,744.0,Music,170.0,999.0,4.95,144.0,6.0
